folder_name,formulation_name,LNP_ID,IL_head_name,head_terminal,tail1_terminal,tail2_terminal,head_total,tail_total,anchor_atom,stable,Experiment_value
result_LM_1,LM_1,LNP_0003871,A12,"1C5,N1",C118,C218,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,4.472089488
result_LM_2,LM_2,LNP_0003872,A2,"1C5,C1",C118,C218,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,4.463215259
result_LM_3,LM_3,LNP_0003873,A3,"1C5,C1",C118,C218,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,3.878274157
result_LM_4,LM_4,LNP_0003888,A2,"C1,CC7",C118,C218,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,2.001818663
result_LM_5,LM_5,LNP_0003891,A12,"CC7,N1",C118,C218,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.456197424
result_LM_6,LM_6,LNP_0003894,A3,"C1,CC7",C118,C218,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C111,C112,C113,C114,C115,C116,C117,C118,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C212,C213,C214,C215,C216,C217,C218,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,2.180686648
result_LM_7,LM_7,LNP_0004005,A2,"1C5,C1",C111,C211,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,2.092888747
result_LM_8,LM_8,LNP_0004009,A2,"C1,CC7",C111,C211,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.058100067
result_LM_9,LM_9,LNP_0004015,A2,"1C5,C1",C110,C210,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.733870673
result_LM_10,LM_10,LNP_0004019,A2,"C1,CC7",C110,C210,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.709473682
result_LM_11,LM_11,LNP_0004025,A2,"1C5,C1",C19,C29,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,0.85919991
result_LM_12,LM_12,LNP_0004029,A2,"C1,CC7",C19,C29,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,0.021481358
result_LM_13,LM_13,LNP_0004035,A2,"1C5,C1",C18,C28,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,0,0.869037194
result_LM_14,LM_14,LNP_0004039,A2,"C1,CC7",C18,C28,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,-0.331391352
result_LM_15,LM_15,LNP_0004045,A2,"1C5,C1",C17,C27,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,0,-0.574647693
result_LM_16,LM_16,LNP_0004049,A2,"C1,CC7",C17,C27,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,0,1.18404995
result_LM_17,LM_17,LNP_0004055,A2,"1C5,C1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,0,0.90471736
result_LM_18,LM_18,LNP_0004059,A2,"C1,CC7",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,0,-0.724367367
result_LM_19,LM_19,LNP_0004065,A2,"1C5,C1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,0,-0.054805356
result_LM_20,LM_20,LNP_0004069,A2,"C1,CC7",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,0,-0.88839575
result_LM_21,LM_21,LNP_0004075,A2,"1C7,C1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O2,1O3,2C1,C1,C2,C3,C4,C5,C6,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,-0.72406397
result_LM_22,LM_22,LNP_0004079,A2,"1C7,C1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O1,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,-0.293950294
result_LM_23,LM_23,LNP_0004092,A3,"1C5,C1",C111,C211,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,2.088171035
result_LM_24,LM_24,LNP_0004096,A3,"C1,CC7",C111,C211,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.551349341
result_LM_25,LM_25,LNP_0004102,A3,"1C5,C1",C110,C210,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.54383802
result_LM_26,LM_26,LNP_0004106,A3,"C1,CC7",C110,C210,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.202559054
result_LM_27,LM_27,LNP_0004112,A3,"1C5,C1",C19,C29,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.029909168
result_LM_28,LM_28,LNP_0004116,A3,"C1,CC7",C19,C29,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.216511557
result_LM_29,LM_29,LNP_0004122,A3,"1C5,C1",C18,C28,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,1.120806297
result_LM_30,LM_30,LNP_0004126,A3,"C1,CC7",C18,C28,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,-0.447014377
result_LM_31,LM_31,LNP_0004132,A3,"1C5,C1",C17,C27,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,1,0.170002635
result_LM_32,LM_32,LNP_0004136,A3,"C1,CC7",C17,C27,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,1,1.330258419
result_LM_33,LM_33,LNP_0004142,A3,"1C5,C1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,1.021517273
result_LM_34,LM_34,LNP_0004146,A3,"C1,CC7",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,1.151626167
result_LM_35,LM_35,LNP_0004152,A3,"1C5,C1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,1,0.327269986
result_LM_36,LM_36,LNP_0004156,A3,"C1,CC7",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,C4,C5,C6,C7,CC1,CC2,CC3,CC4,CC5,CC6,CC7,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,0,-2.325658245
result_LM_37,LM_37,LNP_0004162,A3,"1C7,C1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O1,1O2,1O3,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,-0.216161246
result_LM_38,LM_38,LNP_0004166,A3,"1C7,C1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O1,C1,C2,C3,C4,C5,C6,C7,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,0.086813839
result_LM_39,LM_39,LNP_0004875,A12,"1C5,N1",C111,C211,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.253664288
result_LM_40,LM_40,LNP_0004879,A12,"CC7,N1",C111,C211,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C110,C111,C12,C13,C14,C15,C16,C17,C18,C19,C210,C211,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,0.320865971
result_LM_41,LM_41,LNP_0004885,A12,"1C5,N1",C110,C210,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,1.58131433
result_LM_42,LM_42,LNP_0004889,A12,"CC7,N1",C110,C210,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C110,C12,C13,C14,C15,C16,C17,C18,C19,C210,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.728534847
result_LM_43,LM_43,LNP_0004895,A12,"1C5,N1",C19,C29,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,0,-0.386889764
result_LM_44,LM_44,LNP_0004899,A12,"CC7,N1",C19,C29,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29",N2,1,-0.463574773
result_LM_45,LM_45,LNP_0004905,A12,"1C5,N1",C18,C28,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,0,-0.184057535
result_LM_46,LM_46,LNP_0004909,A12,"CC7,N1",C18,C28,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,-0.296065311
result_LM_47,LM_47,LNP_0004915,A12,"1C5,N1",C17,C27,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,0,-0.273458907
result_LM_48,LM_48,LNP_0004919,A12,"CC7,N1",C17,C27,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26,C27",N2,1,0.252571605
result_LM_49,LM_49,LNP_0004925,A12,"1C5,N1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,0,0.213343401
result_LM_50,LM_50,LNP_0004929,A12,"CC7,N1",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28",N2,1,-0.638432812
result_LM_51,LM_51,LNP_0004935,A12,"1C5,N1",C14,C24,"1C1,1C2,1C3,1C4,1C5,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,0,0.50753392
result_LM_52,LM_52,LNP_0004939,A12,"CC7,N1",C14,C24,"1C1,1C2,1N1,1O1,1O2,1O3,1S1,C1,C2,C3,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C26",N2,0,-0.760310688
result_LM_53,LM_53,LNP_0004945,A12,"1C7,N1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O2,1O3,2C1,C1,C2,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,-0.379317739
result_LM_54,LM_54,LNP_0004949,A12,"1C7,N1",C16,C26,"1C1,1C2,1C3,1C4,1C5,1C6,1C7,1N1,1O1,C1,C2,C3,CN1,CN2,N1,N2","1C0,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26",N2,0,-0.836072905